BorrowerCreditScore,LoanAmount,LoanTerm,EmploymentStatus,AnnualIncome,DebtToIncomeRatio,PreviousDefaultHistory,TypeOfLoan,InterestRate,EconomicIndicators,ApproveLoan,LoanOfferAmount,InterestRateOffered,LoanTermOffered,AdditionalCollateralRequired,LoanPerformance,DefaultWithin12Months,RecoveryRate,CostOfRiskManagement
402,45760,Long-term,Employed,128946,17,No,Auto,7,Growing,No,0.0,0,N/A,No,Non-performing,Yes,66,2699
735,20646,Medium-term,Unemployed,86668,10,No,Auto,10,Stable,Yes,20646.0,10,Medium-term,No,Performing,No,100,2650
570,22029,Short-term,Unemployed,119003,64,Yes,Mortgage,3,Stable,No,0.0,0,N/A,No,Non-performing,Yes,0,3953
406,34402,Medium-term,Employed,62998,18,No,Mortgage,10,Growing,No,0.0,0,N/A,No,Non-performing,Yes,26,2846
371,9263,Medium-term,Unemployed,124601,58,No,Mortgage,18,Recession,No,0.0,0,N/A,No,Non-performing,Yes,39,2392
320,35987,Medium-term,Retired,196679,8,No,Mortgage,14,Growing,No,0.0,0,N/A,No,Non-performing,Yes,96,1601
421,13646,Short-term,Employed,27812,43,No,Business,15,Growing,No,0.0,0,N/A,No,Non-performing,Yes,83,4504
766,32529,Long-term,Self-employed,81844,29,Yes,Mortgage,15,Stable,Yes,20461.0,15,Long-term,No,Non-performing,Yes,13,330
514,16664,Long-term,Retired,153251,36,No,Business,12,Stable,No,0.0,0,N/A,No,Non-performing,Yes,99,4350
630,40737,Short-term,Employed,194870,63,No,Personal,9,Growing,No,0.0,0,N/A,No,Non-performing,Yes,68,1298
758,40796,Medium-term,Self-employed,94601,67,No,Auto,16,Stable,No,0.0,0,N/A,No,Non-performing,Yes,86,214
387,29027,Short-term,Unemployed,159347,42,No,Business,18,Growing,No,0.0,0,N/A,No,Non-performing,Yes,78,1513
672,34373,Short-term,Self-employed,67857,57,No,Personal,17,Stable,No,0.0,0,N/A,No,Non-performing,Yes,5,4506
399,41397,Short-term,Retired,145555,71,No,Personal,14,Growing,No,0.0,0,N/A,No,Non-performing,Yes,32,1092
430,25609,Medium-term,Unemployed,40700,32,No,Business,11,Stable,No,0.0,0,N/A,No,Non-performing,Yes,54,2447
608,40835,Short-term,Employed,190536,7,No,Personal,10,Growing,Yes,40835.0,10,Short-term,Yes,Performing,No,100,1141
643,43709,Medium-term,Unemployed,193423,26,Yes,Personal,15,Growing,Yes,43709.0,15,Medium-term,Yes,Non-performing,Yes,18,111
791,24250,Short-term,Employed,113330,42,Yes,Business,17,Stable,No,0.0,0,N/A,No,Non-performing,Yes,76,3776
713,26172,Long-term,Employed,164941,66,No,Personal,6,Stable,No,0.0,0,N/A,No,Non-performing,Yes,28,4925
685,16555,Short-term,Self-employed,172026,61,No,Mortgage,19,Stable,No,0.0,0,N/A,No,Non-performing,Yes,60,3165
491,26874,Short-term,Self-employed,182627,10,No,Mortgage,7,Recession,No,0.0,0,N/A,No,Non-performing,Yes,69,2136
576,18081,Long-term,Self-employed,83353,36,No,Auto,18,Stable,No,0.0,0,N/A,No,Non-performing,Yes,78,3146
460,29063,Medium-term,Retired,196098,14,No,Personal,11,Growing,No,0.0,0,N/A,No,Non-performing,Yes,79,2450
759,11819,Medium-term,Retired,120772,7,Yes,Auto,12,Recession,Yes,11819.0,12,Medium-term,No,Non-performing,Yes,23,640
613,30712,Short-term,Self-employed,198048,63,No,Mortgage,19,Growing,No,0.0,0,N/A,No,Non-performing,Yes,22,2960
321,29762,Long-term,Retired,111502,53,Yes,Mortgage,9,Stable,No,0.0,0,N/A,No,Non-performing,Yes,9,176
552,16046,Medium-term,Unemployed,133943,63,No,Mortgage,6,Recession,No,0.0,0,N/A,No,Non-performing,Yes,53,3167
774,36463,Short-term,Unemployed,129850,35,No,Personal,7,Stable,Yes,32462.5,7,Short-term,No,Performing,No,100,123
358,33769,Long-term,Retired,65095,73,No,Personal,18,Growing,No,0.0,0,N/A,No,Non-performing,Yes,40,775
810,28150,Medium-term,Retired,165342,66,No,Mortgage,5,Recession,No,0.0,0,N/A,No,Non-performing,Yes,48,2494
775,7711,Medium-term,Unemployed,181980,56,Yes,Auto,16,Growing,No,0.0,0,N/A,No,Non-performing,Yes,16,4367
489,9853,Long-term,Employed,35523,45,No,Auto,17,Growing,No,0.0,0,N/A,No,Non-performing,Yes,55,3498
543,34077,Long-term,Unemployed,82433,35,No,Business,19,Stable,No,0.0,0,N/A,No,Non-performing,Yes,44,2859
804,28863,Long-term,Unemployed,198140,26,No,Mortgage,3,Stable,Yes,28863.0,3,Long-term,No,Performing,No,100,588
430,26792,Long-term,Retired,39991,8,No,Auto,19,Growing,No,0.0,0,N/A,No,Non-performing,Yes,29,1585
784,45483,Short-term,Unemployed,30775,17,No,Mortgage,13,Stable,Yes,7693.75,13,Short-term,No,Performing,No,100,3759
320,13942,Long-term,Retired,104995,49,No,Auto,19,Recession,No,0.0,0,N/A,No,Non-performing,Yes,43,3335
466,6762,Medium-term,Retired,167745,46,No,Business,16,Recession,No,0.0,0,N/A,No,Non-performing,Yes,73,2519
573,36987,Medium-term,Self-employed,142808,53,No,Business,9,Recession,No,0.0,0,N/A,No,Non-performing,Yes,54,3595
687,20850,Short-term,Unemployed,178128,24,No,Mortgage,15,Growing,Yes,20850.0,15,Short-term,No,Performing,No,100,856
615,17112,Medium-term,Employed,157686,58,No,Auto,16,Growing,No,0.0,0,N/A,No,Non-performing,Yes,18,2624
313,29058,Medium-term,Self-employed,27415,40,No,Personal,3,Recession,No,0.0,0,N/A,No,Non-performing,Yes,28,4350
541,43890,Long-term,Retired,194956,5,No,Business,9,Recession,No,0.0,0,N/A,No,Non-performing,Yes,1,356
645,5481,Medium-term,Retired,168036,19,No,Mortgage,10,Growing,Yes,5481.0,10,Medium-term,Yes,Performing,No,100,1879
639,37921,Short-term,Employed,188798,21,No,Mortgage,11,Stable,Yes,37921.0,11,Short-term,Yes,Performing,No,100,4869
391,45385,Long-term,Retired,57044,28,Yes,Auto,3,Stable,No,0.0,0,N/A,No,Non-performing,Yes,35,2215
666,6524,Long-term,Unemployed,188616,62,No,Mortgage,19,Growing,No,0.0,0,N/A,No,Non-performing,Yes,18,3448
754,39888,Short-term,Self-employed,69976,27,No,Business,8,Growing,Yes,17494.0,8,Short-term,No,Performing,No,100,4868
727,20048,Long-term,Retired,183324,50,Yes,Mortgage,5,Recession,No,0.0,0,N/A,No,Non-performing,Yes,6,1572
808,40111,Long-term,Retired,23832,12,No,Mortgage,7,Stable,Yes,5958.0,7,Long-term,No,Performing,No,100,358
334,42904,Short-term,Employed,54148,63,No,Personal,4,Stable,No,0.0,0,N/A,No,Non-performing,Yes,25,4175
505,39008,Long-term,Unemployed,132230,63,Yes,Personal,6,Stable,No,0.0,0,N/A,No,Non-performing,Yes,78,406
380,5060,Short-term,Retired,105076,17,Yes,Business,12,Stable,No,0.0,0,N/A,No,Non-performing,Yes,37,1218
687,14130,Short-term,Employed,58402,43,Yes,Auto,12,Stable,No,0.0,0,N/A,No,Non-performing,Yes,2,3117
301,23023,Medium-term,Retired,58578,32,No,Personal,13,Growing,No,0.0,0,N/A,No,Non-performing,Yes,79,4441
689,18350,Medium-term,Employed,110453,65,Yes,Auto,18,Growing,No,0.0,0,N/A,No,Non-performing,Yes,65,2880
